Name,Price,Producturl,ImageUrl,MPN,Model,Processor,RAM,Storage,GraphicsModel,Motherboard
Intel Pentium Gold G7400 Desktop PC,"21,999৳",https://www.startech.com.bd/intel-pentium-gold-g7400-desktop-pc,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/pentium-gold-g7400-desktop-pc-02-228x228.webp,,Pentium Gold G7400,"Intel Pentium Gold G7400 Alder Lake Processor
03 Years Warranty (No Warranty for Fan or Cooler)
","PNY XLR8 8GB DDR4 3200MHz Desktop Gaming RAM
Life time warranty","Team MP33 256GB M.2 PCIe SSD
05 years warranty
",,"BIOSTAR H610MHP Micro ATX Motherboard
03 Years Warranty"
AMD Ryzen 3 3200G Budget Gaming Desktop PC,"25,599৳",https://www.startech.com.bd/amd-ryzen-3-3200g-budget-gaming-desktop-pc,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/ryzen-3-3200g-budget-gaming-desktop-pc-01-228x228.webp,,Ryzen 3 3200G Budget Gaming Desktop PC,"AMD Ryzen 3 3200G Processor with Radeon RX Vega 8 Graphics
03 Years Warranty (No Warranty for Fan or Cooler)
","Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM
05-year warranty","Western Digital Green SN350 240GB M.2 NVMe Gen3 SSD
03 years warranty
","AMD Ryzen 3 3200G Processor with Radeon RX Vega 8 Graphics
03 Years Warranty (No Warranty for Fan or Cooler)
","MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard
03 Years Warranty"
AMD Ryzen 5 5600G Custom Desktop PC,"30,700৳",https://www.startech.com.bd/amd-ryzen-5-5600g-desktop-pc,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-5600g-desktop-pc-03-228x228.webp,,Ryzen 5 5600G Desktop PC,"AMD Ryzen 5 5600G Processor with Radeon Graphics (Chinese Edition)
3 Years Warranty (No Warranty for Fan or Cooler)","Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM
Lifetime Warranty","HP EX900 M.2 250GB PCIe NVMe Internal SSD
3 Years Warranty","AMD Ryzen 5 5600G Processor with Radeon Graphics (Chinese Edition)
3 Years Warranty (No Warranty for Fan or Cooler)","MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard (C)
3 Years Warranty"
Intel Pentium Gold G7400 Budget Desktop PC,"23,999৳",https://www.startech.com.bd/intel-pentium-gold-g7400-budget-desktop-pc,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/pentium-gold-g7400-budget-desktop-pc-01-228x228.webp,,Pentium Gold G7400,"Intel Pentium Gold G7400 Alder Lake Processor
03 Years Warranty (No Warranty for Fan or Cooler)
","Kimtigo WOLFRINE 8GB 3200MHz DDR4 UDIMM Desktop RAM
Life time warranty","Western Digital Green SN350 240GB M.2 NVMe Gen3 SSD
03 years warranty
",,"MSI PRO H610M-E DDR4 mATX Motherboard
03 Years Warranty"
AMD Ryzen 5 2400G Desktop PC,"25,800৳",https://www.startech.com.bd/amd-ryzen-5-2400g-desktop-pc,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/ryzen-5-2400g-desktop-pc02-228x228.webp,,Ryzen 5 2400G Desktop PC,"AMD Ryzen 5 2400G Desktop Processor with Radeon RX Vega 11 Graphics
3 Years Warranty (No Warranty for Fan or Cooler)","Team Elite Plus Red 8GB 3200MHz DDR4 U-DIMM Desktop RAM
Lifetime Warranty","Kimtigo TP3000 256GB M.2 NVMe PCIe Gen3x4 SSD
3 Years Warranty","AMD Ryzen 5 2400G Desktop Processor with Radeon RX Vega 11 Graphics
3 Years Warranty (No Warranty for Fan or Cooler)","MSI B450M-A PRO MAX AMD AM4 Motherboard
3 Years Warranty"
AMD Ryzen 5 5600G Custom Desktop PC with Monitor,"40,700৳",https://www.startech.com.bd/amd-ryzen-5-5600g-desktop-pc-with-monitor,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/ryzen-5-5600g-desktop-pc-with-monitor004-228x228.webp,,Ryzen 5 5600G Desktop PC with Monitor,"AMD Ryzen 5 5600G Processor with Radeon Graphics (Chinese Edition)
3 Years Warranty (No Warranty for Fan or Cooler)","Team Elite Plus Red 8GB 3200MHz DDR4 U-DIMM Desktop RAM
Lifetime Warranty","Team MP33 256GB M.2 PCIe SSD
3 Years Warranty","AMD Ryzen 5 5600G Processor with Radeon Graphics (Chinese Edition)
3 Years Warranty (No Warranty for Fan or Cooler)","MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard (CN)
3 Years Warranty"
Intel 10th Gen Core i3-10100 Desktop PC,"30,780৳",https://www.startech.com.bd/intel-10th-gen-core-i3-10100-desktop-pc,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/10th-gen-core-i3-10100-desktop-pc-01-228x228.webp,,10th Gen Desktop PC,"Intel 10th Gen Core i3-10100 Processor
03 Years Warranty (No Warranty for Fan or Cooler)
","Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM
Life time warranty","Team MP33 256GB M.2 PCIe SSD
05 years warranty
",,"GIGABYTE H470M H 11th and 10th Gen Micro ATX Motherboard
03 Years Warranty"
Intel 10th Gen Core i7-10700 Desktop PC,"45,999৳",https://www.startech.com.bd/intel-10th-gen-core-i7-10700-desktop-pc,https://www.startech.com.bd/image/cache/catalog/desktop-pc/intel/intel-10th-gen-core-i7-10700-desktop-pc-002-228x228.webp,,10th Gen Desktop PC,"Intel 10th Gen Core i7-10700 Processor
03 Years Warranty (No Warranty for Fan or Cooler)
","Corsair Vengeance LPX 16GB DDR4 DRAM 3200MHz RAM
Life time warranty","HP EX900 PLUS 256GB M.2 PCIe NVMe Internal SSD
05 years warranty
",,"GIGABYTE B560M H Intel 10th and 11th Gen Micro ATX Motherboard
03 Years Warranty"
AMD Ryzen 7 5700G Custom Desktop PC,"39,199৳",https://www.startech.com.bd/amd-ryzen-7-5700g-custom-desktop-pc,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/ryzen-7-5700g-custom-desktop-pc-01-228x228.webp,,Ryzen 7 5700G Custom Desktop PC,"AMD Ryzen 7 5700G Processor with Radeon Graphics
3 Years Warranty (No Warranty for Fan or Cooler)","Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM
Lifetime Warranty","Team MP33 256GB M.2 PCIe SSD
5 Years Warranty","AMD Ryzen 7 5700G Processor with Radeon Graphics
3 Years Warranty (No Warranty for Fan or Cooler)","MSI B450M-A PRO MAX AMD AM4 Motherboard
3 Years Warranty"
Dell Vostro 3910 MT Core i3 12th Gen Tower Brand PC,"52,000৳",https://www.startech.com.bd/dell-vostro-3910-mt-core-i3-tower-brand-pc,https://www.startech.com.bd/image/cache/catalog/brand-pc/dell/vostro-3910-mt/vostro-3910-01-228x228.webp,,Vostro 3910 MT,"Intel Core i3-12100 (12M Cache, 3.30 GHz  to 4.30 GHz)",4GB DDR4 RAM 3200MHz,"1TB HDD
",Intel UHD Graphics,Intel B660 Chipset
